Points_0,Points_1,Points_2
1.55285,2.00505,0.199598
1.48378,2.04792,0.222233
1.54374,2.07833,0.244926
1.49888,2.19849,0.272772
1.45926,2.1714,0.242102
1.58326,2.10186,0.280085
1.53075,2.21203,0.28847
1.56683,2.24895,0.293711
1.59972,2.33606,0.273927
1.55917,2.3453,0.284211
1.55538,2.39667,0.271185
1.5558,2.44367,0.254369
1.52739,2.3835,0.25953
1.51932,2.33533,0.264
1.47493,2.31491,0.260959
1.45133,2.2965,0.237954
1.48717,2.37904,0.255043
1.45542,2.37317,0.234621
1.57245,2.74106,0.0639736
1.62096,2.7161,0.0595344
1.56793,2.7434,0.0880419
1.61556,2.70992,0.120768
1.57124,2.74611,0.11624
1.50408,2.74504,0.061999
1.51117,2.74459,0.0987273
1.51484,2.75047,0.118497
1.51408,2.74962,0.150937
1.61104,2.7034,0.137399
1.56639,2.73348,0.153709
1.60265,2.70534,0.157271
1.63062,2.66932,0.161406
1.45615,2.6664,0.210266
1.46049,2.71008,0.202154
1.4494,2.70954,0.153314
1.44085,2.65525,0.178616
1.4459,2.7076,0.133164
1.45879,2.73656,0.0982911
1.4664,2.73044,0.119313
1.46602,2.732,0.13542
1.47328,2.73547,0.171611
1.43433,2.71372,0.112049
1.42159,2.67184,0.140204
1.4373,2.66099,0.153741
1.43222,2.71759,0.0016831
1.36448,2.61363,0.164762
1.40475,2.63816,0.167314
1.43272,2.64325,0.17959
1.45573,2.6194,0.227083
1.40703,2.60858,0.239117
1.35891,2.54727,0.231813
1.37918,2.59132,0.228022
1.47176,2.63216,0.234193
1.42632,2.60399,0.27637
1.47105,2.61087,0.264622
1.39018,2.58358,0.273518
1.3741,2.55074,0.268189
1.44126,2.59704,0.330176
1.48593,2.60746,0.313935
1.3975,2.54222,0.306077
1.41746,2.57543,0.315448
1.51542,2.61851,0.260923
1.55236,2.59966,0.23522
1.51502,2.60805,0.278036
1.49743,2.61861,0.345497
1.52264,2.60588,0.298674
1.45642,2.60129,0.37461
1.43243,2.56768,0.361037
1.5165,2.63936,0.392572
1.54188,2.62175,0.338092
1.46777,2.61638,0.405783
1.44786,2.57078,0.393626
1.49011,2.65619,0.483467
1.46664,2.61709,0.454329
1.44886,2.58713,0.521563
1.50716,2.66487,0.446663
1.55691,2.64686,0.388798
1.53891,2.67074,0.467086
1.52228,2.67663,0.486381
1.49668,2.68695,0.54954
1.46303,2.67273,0.610892
1.46446,2.64647,0.54872
1.44212,2.63534,0.642411
1.44724,2.61419,0.591947
1.44244,2.57621,0.449591
1.41688,2.53725,0.33938
1.4315,2.53911,0.400296
1.43049,2.54732,0.443971
1.43783,2.48142,0.474916
1.4325,2.53185,0.534664
1.45812,2.56236,0.641705
1.46708,2.50187,0.60327
1.48862,2.42702,0.542112
1.43543,2.47087,0.406987
1.34367,2.54734,0.190946
1.38735,2.47273,0.215278
1.40683,2.47133,0.244253
1.46303,2.43606,0.257102
1.41401,2.47931,0.284155
1.42926,2.48318,0.324639
1.48779,2.40577,0.406364
1.47792,2.40921,0.482828
1.57261,2.53436,0.229882
1.5603,2.54753,0.240443
1.55617,2.51098,0.239897
1.48719,2.65622,0.609063
1.4833,2.61533,0.604795
1.49622,2.61988,0.568133
1.48741,2.63499,0.59884
1.48403,2.60828,0.573119
1.50867,2.65883,0.552537
1.50861,2.63877,0.554473
1.5094,2.61916,0.519869
1.54271,2.58186,0.301465
1.53938,2.53864,0.273191
1.58948,2.57643,0.371968
1.55519,2.63788,0.462506
1.52992,2.65021,0.505221
1.51784,2.64216,0.505719
1.55226,2.59233,0.410072
1.58453,2.61632,0.408498
1.54896,2.56112,0.380639
1.54294,2.62588,0.463383
1.57777,2.53026,0.355905
1.51491,2.60939,0.460183
1.51975,2.58545,0.422101
1.54954,2.53439,0.354851
1.50865,2.55719,0.380083
1.48906,2.52226,0.354622
1.48814,2.53025,0.394335
1.48716,2.55047,0.43701
1.48967,2.56883,0.500037
